Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (5.17638, 19.3185)
2: (x,y) = (19.8035, 32.9585)
3: (x,y) = (0.578221, 38.4712)
4: (x,y) = (10.879, 55.6146)
5: (x,y) = (-2.76098, 70.2417)
6: (x,y) = (5.69138, 52.1155)
7: (x,y) = (-10.6917, 40.644)
8: (x,y) = (-3.85126, 21.8501)
9: (x,y) = (-5.24639, 41.8014)
10: (x,y) = (-23.2223, 50.5688)
11: (x,y) = (-3.65932, 46.4106)
12: (x,y) = (-23.4131, 43.2819)
13: (x,y) = (-41.8232, 35.4673)
14: (x,y) = (-24.1642, 44.8567)
15: (x,y) = (-13.5658, 27.8957)
16: (x,y) = (-28.1929, 41.5357)
17: (x,y) = (-15.8797, 25.7755)
18: (x,y) = (-35.5122, 21.9593)
19: (x,y) = (-18.9315, 10.7755)
20: (x,y) = (-28.3209, -6.8835)
21: (x,y) = (-38.6217, 10.2598)
22: (x,y) = (-23.9946, 23.8998)
23: (x,y) = (-38.3814, 37.793)
24: (x,y) = (-56.2015, 46.8728)
25: (x,y) = (-76.0524, 44.4354)
26: (x,y) = (-70.8761, 25.1169)
27: (x,y) = (-66.7178, 5.55394)
28: (x,y) = (-80.611, 19.9407)
29: (x,y) = (-60.7206, 22.0313)
30: (x,y) = (-49.5367, 5.45055)
31: (x,y) = (-36.1541, 20.3134)
32: (x,y) = (-33.0254, 40.0672)
33: (x,y) = (-48.5683, 27.4808)
34: (x,y) = (-65.5293, 16.8824)
35: (x,y) = (-45.9663, 21.0407)
36: (x,y) = (-60.3531, 7.14749)
37: (x,y) = (-41.4428, 13.6589)
38: (x,y) = (-44.9157, 33.355)
39: (x,y) = (-63.0419, 41.8074)
40: (x,y) = (-43.7234, 36.631)
41: (x,y) = (-49.2361, 17.4058)
42: (x,y) = (-65.2088, 29.4421)
43: (x,y) = (-85.1327, 31.1852)
44: (x,y) = (-67.9894, 20.8844)
45: (x,y) = (-53.3623, 34.5244)
46: (x,y) = (-33.7297, 30.7082)
47: (x,y) = (-39.2425, 49.9334)
48: (x,y) = (-53.8696, 36.2935)
49: (x,y) = (-73.8696, 36.2935)
50: (x,y) = (-67.6892, 55.3146)
51: (x,y) = (-49.1456, 47.8225)
52: (x,y) = (-38.8448, 30.6791)
53: (x,y) = (-19.2818, 26.5209)
54: (x,y) = (-27.4166, 44.7918)
55: (x,y) = (-29.1597, 64.7157)
56: (x,y) = (-15.5197, 79.3428)
57: (x,y) = (-0.198829, 92.1985)
58: (x,y) = (18.9273, 98.0459)
59: (x,y) = (-1.06969, 97.6969)
60: (x,y) = (1.71377, 77.8915)
61: (x,y) = (-17.7736, 73.3925)
62: (x,y) = (-30.6294, 58.0716)
63: (x,y) = (-43.2158, 42.5287)
64: (x,y) = (-38.3773, 23.1228)
65: (x,y) = (-24.4842, 8.736)
66: (x,y) = (-33.2516, -9.23988)
67: (x,y) = (-50.395, 1.06088)
68: (x,y) = (-32.4191, -7.70654)
69: (x,y) = (-13.1938, -13.2193)
70: (x,y) = (-2.00998, -29.8)
71: (x,y) = (-21.6425, -33.6162)
72: (x,y) = (-28.4829, -14.8224)
73: (x,y) = (-13.3887, -27.9436)
74: (x,y) = (6.50171, -25.853)
75: (x,y) = (9.97467, -6.15683)
76: (x,y) = (29.9625, -5.45884)
77: (x,y) = (16.5799, -20.3217)
78: (x,y) = (27.1783, -3.36077)
79: (x,y) = (24.7409, 16.4902)
80: (x,y) = (38.1235, 31.353)
81: (x,y) = (25.0023, 46.4472)
82: (x,y) = (30.1787, 65.7658)
83: (x,y) = (49.8748, 62.2928)
84: (x,y) = (69.6286, 59.1641)
After 85 steps, the subject has the following location:
(x,y) = (79.018, 76.8231)
 or
(m,a) = (110.207, 44.1931)
Average outward distance per step = 1.29656
